8761 4 0.7974 0.7899 0.1626 0.2072 24166510.5655 22958821.1946 252877121.3565 28149.8579 591657.0268 29833512.5266 34106327.9150 12277583.0900 10659742.0195 10632599.5076 10632599.5076 10632599.5076 10632599.5076 10632599.5076 9.5215 0.5208 0.2727 0.2435 0.2227 0.2152 0.2150 0.2150 0.2150 0.2150 0.2150 0.2254 0.0416 0.5143 1.3000 1.5275 1.5374 1.5376 1.5376 1.5376 1.5376 1.5376 1.5376 0.1116 0.0801 0.0661 0.0578 0.0563 0.0563 0.0563 0.0563 0.0563 0.0563 0.0644  
8761 12 1.5862 0.6931 0.0172 0.0300 16590437.9471 4574051.6811 1279167127.7104 41883.9176 770031759.5587 4030581235.8413 1620163961.5672 357010932.4236 96965820.7706 56748614.4128 35060008.4248 18464104.3495 10604520.4051 8195540.3900 297.0379 0.5657 0.0189 0.0264 0.0411 0.0460 0.0472 0.0481 0.0500 0.0529 0.0548 0.0129 0.0186 0.1372 0.2786 0.3810 0.4352 0.4703 0.5138 0.5480 0.5643 0.5693 1.1640 0.1879 0.1136 0.0851 0.0730 0.0674 0.0657 0.0651 0.0639 0.0620 0.0608 0.1157  
8761 15 0.7737 0.6264 0.1999 0.1802 587258313.7755 2699783.4139 1692406963.1133 464679.7553 1084064497.3932 11934516666.8716 8479015718.0839 3319377006.0655 1585100487.6228 934048916.2225 885174723.3528 876516892.6563 852904040.5396 819158293.8257 1224.6024 1.1247 0.0098 0.0044 0.0395 0.2503 0.4568 0.4795 0.4800 0.4809 0.4823 0.2193 0.0038 0.0342 0.0808 0.1147 0.1548 0.1707 0.1721 0.1731 0.1761 0.1804 1.6453 0.2770 0.2005 0.1547 0.1329 0.1232 0.1148 0.1139 0.1139 0.1138 0.1137 0.1623  
8761 29 0.7020 0.6427 0.0555 0.1163 72344685.4803 205863894.6902 213744969.0001 89844.3522 2310524.9235 311008923.6818 794674320.5672 733166144.5475 515383693.1374 344940035.0428 232955882.5039 169481541.5497 142087318.0779 133044125.2836 149.1872 4.9467 1.3497 0.2768 0.0700 0.0443 0.0934 0.2845 0.5209 0.6523 0.6975 0.1557 0.0008 0.0082 0.0282 0.0621 0.1093 0.1664 0.2317 0.3016 0.3756 0.4292 2.5550 0.1776 0.1186 0.1034 0.0842 0.0694 0.0598 0.0529 0.0479 0.0442 0.0422 0.0965  
8761 30 0.1325 0.8868 0.0182 0.0376 21570822.0383 31353.2208 166983150.6097 4145.3696 12.7424 3518.4471 1140926.6859 10330978.1629 19715291.5831 21331817.4266 21336270.1467 21331398.7613 21331070.3993 21331070.3993 0.6104 1.3876 3.7241 0.8950 0.2118 0.0646 0.0307 0.0251 0.0247 0.0247 0.0247 0.2886 0.0092 0.1152 0.3963 0.8329 1.2515 1.4225 1.4449 1.4461 1.4461 1.4461 1.4461 0.1301 0.0872 0.0687 0.0639 0.0596 0.0568 0.0563 0.0563 0.0563 0.0563 0.0663  
8761 35 1.0544 0.4798 0.2858 0.5725 12224107.5153 2071391.2769 105985979.5363 13238.5612 6586971.6934 58476358.1378 63584172.9308 65259124.3717 44332063.1659 22796996.0890 14347203.7513 12846238.3751 12549228.3755 12312259.9741 0.0414 0.0614 1.5744 1.8115 0.2512 0.1896 0.1332 0.0664 0.0469 0.0451 0.0449 0.0512 0.0143 0.1168 0.2527 0.3549 0.4242 0.4826 0.5057 0.5111 0.5149 0.5194 1.4702 0.1365 0.1141 0.0842 0.0758 0.0726 0.0699 0.0669 0.0660 0.0658 0.0658 0.0598  
8761 36 0.4351 0.5398 0.0469 0.1076 167868011.1738 3060018.2770 262644312.2689 76750.1067 32023384723.6717 47985488138.1152 23676583319.9999 8643575052.5081 859242759.8944 259495973.7875 243200092.0981 243200092.0981 243169686.7246 243139281.3510 4860.4931 1.3418 0.1435 0.1455 0.1457 0.1471 0.1505 0.1508 0.1508 0.1508 0.1508 0.1456 0.0007 0.0052 0.0090 0.0171 0.0213 0.0216 0.0216 0.0216 0.0216 0.0216 1.4359 0.1898 0.1724 0.1293 0.1282 0.1192 0.0979 0.0960 0.0960 0.0960 0.0960 0.1289  
17545 4 6.1371 2.1334 0.0507 0.0578 16597682.5708 5361340.2011 607105319.2505 16360.6939 1739991.0128 80665877.8011 95476628.4214 37616812.0685 33332836.2719 33261015.5834 33261015.5834 33261015.5834 33261015.5834 33261015.5834 29.0887 0.1783 0.0476 0.0407 0.0376 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0380 0.0416 0.5143 1.3000 1.5275 1.5374 1.5376 1.5376 1.5376 1.5376 1.5376 1.5376 0.1127 0.0800 0.0656 0.0576 0.0563 0.0563 0.0563 0.0563 0.0563 0.0563 0.0632  
17545 12 1.4389 1.5687 0.0085 0.0124 17734088.4231 197452.4603 2916401431.2078 679692.5256 1003500830.0797 5531235887.8816 4220737193.1253 1811366886.7584 397156334.3955 180973567.7885 103942759.6627 46551308.0713 19373091.1874 11043835.8922 373.9141 0.1035 0.0040 0.0077 0.0126 0.0143 0.0152 0.0154 0.0158 0.0167 0.0175 0.0024 0.0186 0.1372 0.2786 0.3810 0.4352 0.4703 0.5138 0.5480 0.5643 0.5693 1.1640 0.1870 0.1065 0.0811 0.0737 0.0694 0.0660 0.0655 0.0647 0.0632 0.0617 0.1107  
17545 15 1.1131 1.1047 0.2232 0.1984 431631569.4316 1019482.7783 1726695899.9710 661969.2236 961662135.8662 12484971070.7117 12488999847.4997 5607506023.9737 1920594469.1619 495416408.5095 390939264.3814 386193462.8159 375963229.6962 361342938.0684 778.7835 0.1841 0.0011 0.0008 0.0176 0.1755 0.6028 0.7068 0.7081 0.7077 0.7071 0.2102 0.0038 0.0342 0.0808 0.1147 0.1548 0.1707 0.1721 0.1731 0.1761 0.1804 1.6453 0.2804 0.1928 0.1542 0.1340 0.1283 0.1167 0.1139 0.1139 0.1138 0.1137 0.1738  
