ratio_percent;simu;scenario;variable
-1.73083778694955;simu1;scesevereandchokeplgnb;feffort
-1.69565770965708;simu2;scesevereandchokeplgnb;feffort
-0.447410728322993;simu3;scesevereandchokeplgnb;feffort
-0.661194918136317;simu4;scesevereandchokeplgnb;feffort
-1.36262063564563;simu6;scesevereandchokeplgnb;feffort
-1.05517016658635;simu7;scesevereandchokeplgnb;feffort
-1.12021316085203;simu8;scesevereandchokeplgnb;feffort
-0.490067909915126;simu9;scesevereandchokeplgnb;feffort
-0.390930137311557;simu10;scesevereandchokeplgnb;feffort
0.459230839054698;simu1;scefmsylowplgnb;feffort
-0.584822799954736;simu2;scefmsylowplgnb;feffort
-0.40764990186581;simu3;scefmsylowplgnb;feffort
-1.06712254449465;simu4;scefmsylowplgnb;feffort
-1.26420190329696;simu6;scefmsylowplgnb;feffort
0.602483820504517;simu7;scefmsylowplgnb;feffort
1.03244702759599;simu8;scefmsylowplgnb;feffort
-1.36768772139874;simu9;scefmsylowplgnb;feffort
0.234801084803294;simu10;scefmsylowplgnb;feffort
-0.924699022765296;simu1;scefmsylowsevereandchokeplgnb;feffort
-0.285009539053533;simu2;scefmsylowsevereandchokeplgnb;feffort
-0.619183584458796;simu3;scefmsylowsevereandchokeplgnb;feffort
-0.300004858378273;simu4;scefmsylowsevereandchokeplgnb;feffort
-2.09466949505625;simu6;scefmsylowsevereandchokeplgnb;feffort
-0.554493898894819;simu7;scefmsylowsevereandchokeplgnb;feffort
-0.551818121723386;simu8;scefmsylowsevereandchokeplgnb;feffort
-0.450293111994327;simu9;scefmsylowsevereandchokeplgnb;feffort
-0.523417079728588;simu10;scefmsylowsevereandchokeplgnb;feffort
-0.332911932243164;simu1;scesmallerselplgnb;feffort
-0.0335988908829279;simu2;scesmallerselplgnb;feffort
-0.289838167350482;simu3;scesmallerselplgnb;feffort
0.406636139856516;simu4;scesmallerselplgnb;feffort
-0.866766706492072;simu6;scesmallerselplgnb;feffort
-0.0684122430550218;simu7;scesmallerselplgnb;feffort
-0.225517265927309;simu8;scesmallerselplgnb;feffort
0.0527470353137716;simu9;scesmallerselplgnb;feffort
0.0347797208408451;simu10;scesmallerselplgnb;feffort
-17.4903257770185;simu1;scejcodboxplgnb;feffort
-18.2833038269389;simu2;scejcodboxplgnb;feffort
-17.1591802372464;simu3;scejcodboxplgnb;feffort
-17.7466942784499;simu4;scejcodboxplgnb;feffort
-18.7512001520151;simu6;scejcodboxplgnb;feffort
-16.9764727762347;simu7;scejcodboxplgnb;feffort
-17.282453383776;simu8;scejcodboxplgnb;feffort
-17.548711508545;simu9;scejcodboxplgnb;feffort
-17.4465609842408;simu10;scejcodboxplgnb;feffort
-1.3988039286422;simu1;scesevereandchokeplgnb;seffort
-1.8529568415387;simu2;scesevereandchokeplgnb;seffort
-0.0737921457962756;simu3;scesevereandchokeplgnb;seffort
-0.492861452859557;simu4;scesevereandchokeplgnb;seffort
-1.66289353065162;simu6;scesevereandchokeplgnb;seffort
-1.38606263060514;simu7;scesevereandchokeplgnb;seffort
-1.31045031062045;simu8;scesevereandchokeplgnb;seffort
-0.359048061741873;simu9;scesevereandchokeplgnb;seffort
-0.387999533555544;simu10;scesevereandchokeplgnb;seffort
0.26254742988057;simu1;scefmsylowplgnb;seffort
-0.741160251662834;simu2;scefmsylowplgnb;seffort
0.0951507937542146;simu3;scefmsylowplgnb;seffort
-0.920481300505202;simu4;scefmsylowplgnb;seffort
-1.38726873278391;simu6;scefmsylowplgnb;seffort
0.587403686435309;simu7;scefmsylowplgnb;seffort
0.773880412683468;simu8;scefmsylowplgnb;seffort
-1.47373828723732;simu9;scefmsylowplgnb;seffort
0.221448445213341;simu10;scefmsylowplgnb;seffort
-0.606758091095855;simu1;scefmsylowsevereandchokeplgnb;seffort
-0.128220442475751;simu2;scefmsylowsevereandchokeplgnb;seffort
-0.668095108869622;simu3;scefmsylowsevereandchokeplgnb;seffort
-0.288263102829902;simu4;scefmsylowsevereandchokeplgnb;seffort
-2.30539539863275;simu6;scefmsylowsevereandchokeplgnb;seffort
-0.585766048778453;simu7;scefmsylowsevereandchokeplgnb;seffort
-0.861660150542534;simu8;scefmsylowsevereandchokeplgnb;seffort
-0.6489900508614;simu9;scefmsylowsevereandchokeplgnb;seffort
-0.879512554284716;simu10;scefmsylowsevereandchokeplgnb;seffort
-0.389092976397549;simu1;scesmallerselplgnb;seffort
-0.556727427566827;simu2;scesmallerselplgnb;seffort
-0.0797691679701842;simu3;scesmallerselplgnb;seffort
0.428577625960543;simu4;scesmallerselplgnb;seffort
-1.03101406283108;simu6;scesmallerselplgnb;seffort
0.214756414104357;simu7;scesmallerselplgnb;seffort
-0.515741286603387;simu8;scesmallerselplgnb;seffort
0.231206042889042;simu9;scesmallerselplgnb;seffort
0.24186947329521;simu10;scesmallerselplgnb;seffort
-1.73107420034675;simu1;scejcodboxplgnb;seffort
-2.62199843448518;simu2;scejcodboxplgnb;seffort
-0.603367641251765;simu3;scejcodboxplgnb;seffort
-2.28416043124814;simu4;scejcodboxplgnb;seffort
-3.11411970692212;simu6;scejcodboxplgnb;seffort
-1.18644024726071;simu7;scejcodboxplgnb;seffort
-1.71803542955267;simu8;scejcodboxplgnb;seffort
-1.79782581447647;simu9;scejcodboxplgnb;seffort
-1.19163036418158;simu10;scejcodboxplgnb;seffort
-0.216586827125838;simu1;scesevereandchokeplgnb;propfeffort
0.102922604808285;simu2;scesevereandchokeplgnb;propfeffort
-0.240220620811442;simu3;scesevereandchokeplgnb;propfeffort
-0.108741130518084;simu4;scesevereandchokeplgnb;propfeffort
0.196016255758579;simu6;scesevereandchokeplgnb;propfeffort
0.215224008166842;simu7;scesevereandchokeplgnb;propfeffort
0.123815689571543;simu8;scesevereandchokeplgnb;propfeffort
-0.0845043415549185;simu9;scesevereandchokeplgnb;propfeffort
-0.00189031778249671;simu10;scesevereandchokeplgnb;propfeffort
0.125931104354066;simu1;scefmsylowplgnb;propfeffort
0.101148579061388;simu2;scefmsylowplgnb;propfeffort
-0.322882314066007;simu3;scefmsylowplgnb;propfeffort
-0.0951298868906605;simu4;scefmsylowplgnb;propfeffort
0.0801643748173717;simu6;scefmsylowplgnb;propfeffort
0.00962723451010561;simu7;scefmsylowplgnb;propfeffort
0.164769587318077;simu8;scefmsylowplgnb;propfeffort
0.0691145278283187;simu9;scefmsylowplgnb;propfeffort
0.00855993722987591;simu10;scefmsylowplgnb;propfeffort
-0.205728859353741;simu1;scefmsylowsevereandchokeplgnb;propfeffort
-0.100931617128751;simu2;scefmsylowsevereandchokeplgnb;propfeffort
0.0315881869124865;simu3;scefmsylowsevereandchokeplgnb;propfeffort
-0.00756519046167625;simu4;scefmsylowsevereandchokeplgnb;propfeffort
0.138509556537841;simu6;scefmsylowsevereandchokeplgnb;propfeffort
0.0201987052949448;simu7;scefmsylowsevereandchokeplgnb;propfeffort
0.200661728660506;simu8;scefmsylowsevereandchokeplgnb;propfeffort
0.12837601080156;simu9;scefmsylowsevereandchokeplgnb;propfeffort
0.230531588001327;simu10;scefmsylowsevereandchokeplgnb;propfeffort
0.0362246247360645;simu1;scesmallerselplgnb;propfeffort
0.3373863640373;simu2;scesmallerselplgnb;propfeffort
-0.134994095808054;simu3;scesmallerselplgnb;propfeffort
-0.014036456472283;simu4;scesmallerselplgnb;propfeffort
0.106588120787166;simu6;scesmallerselplgnb;propfeffort
-0.181641909434077;simu7;scesmallerselplgnb;propfeffort
0.18731695760404;simu8;scesmallerselplgnb;propfeffort
-0.114442587113189;simu9;scesmallerselplgnb;propfeffort
-0.132835794939879;simu10;scesmallerselplgnb;propfeffort
-10.9288920465273;simu1;scejcodboxplgnb;propfeffort
-10.964543077649;simu2;scejcodboxplgnb;propfeffort
-11.3654829131065;simu3;scejcodboxplgnb;propfeffort
-10.7752524841644;simu4;scejcodboxplgnb;propfeffort
-11.0068336676232;simu6;scejcodboxplgnb;propfeffort
