ratio_percent;simu;scenario;variable
0.316250936577262;simu1;scesevereandchokeplgnb;propfeffort
0.49740705505144;simu2;scesevereandchokeplgnb;propfeffort
0.214275193201743;simu3;scesevereandchokeplgnb;propfeffort
0.390140764738462;simu4;scesevereandchokeplgnb;propfeffort
-0.163651766809664;simu5;scesevereandchokeplgnb;propfeffort
-0.0760804105734536;simu9;scesevereandchokeplgnb;propfeffort
0.198813967119023;simu1;scefmsylowplgnb;propfeffort
0.244441170964677;simu2;scefmsylowplgnb;propfeffort
0.160194666172913;simu3;scefmsylowplgnb;propfeffort
0.155715669260644;simu4;scefmsylowplgnb;propfeffort
-0.160820836641278;simu5;scefmsylowplgnb;propfeffort
-0.0925259212769163;simu9;scefmsylowplgnb;propfeffort
0.125502730112714;simu1;scefmsylowsevereandchokeplgnb;propfeffort
0.59369176165383;simu2;scefmsylowsevereandchokeplgnb;propfeffort
0.566577443064915;simu3;scefmsylowsevereandchokeplgnb;propfeffort
0.222912603310974;simu4;scefmsylowsevereandchokeplgnb;propfeffort
0.113850660576873;simu5;scefmsylowsevereandchokeplgnb;propfeffort
0.236814381319377;simu9;scefmsylowsevereandchokeplgnb;propfeffort
-0.72021795896606;simu1;scesmallerselplgnb;propfeffort
-0.478055193050906;simu2;scesmallerselplgnb;propfeffort
-0.579472611465221;simu3;scesmallerselplgnb;propfeffort
-0.659029995405803;simu4;scesmallerselplgnb;propfeffort
-0.711196185256284;simu5;scesmallerselplgnb;propfeffort
-0.744743705330535;simu9;scesmallerselplgnb;propfeffort
-3.60499954432913;simu1;scejcodboxplgnb;propfeffort
-3.30310101342074;simu2;scejcodboxplgnb;propfeffort
-3.48810938697338;simu3;scejcodboxplgnb;propfeffort
-3.35396922016648;simu4;scejcodboxplgnb;propfeffort
-3.97367414576053;simu5;scejcodboxplgnb;propfeffort
-3.85859045086507;simu9;scejcodboxplgnb;propfeffort
-1.04840963984081;simu1;scesevereandchokeplgnb;nbtrip
-1.18067047790983;simu2;scesevereandchokeplgnb;nbtrip
-1.11468548941221;simu3;scesevereandchokeplgnb;nbtrip
-0.605662488527926;simu4;scesevereandchokeplgnb;nbtrip
-0.461243560560675;simu5;scesevereandchokeplgnb;nbtrip
-0.918740103162293;simu9;scesevereandchokeplgnb;nbtrip
-0.127517769255661;simu1;scefmsylowplgnb;nbtrip
-0.313111177975017;simu2;scefmsylowplgnb;nbtrip
-0.552501717783755;simu3;scefmsylowplgnb;nbtrip
