metier_name,met,stock,sz group 0,sz group 1,sz group 2,sz group 3,sz group 4,sz group 5,sz group 6,sz group 7,sz group 8,sz group 9,sz group 10,sz group 11,sz group 12,sz group 13
GND,0,HER.nsea,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GND,0,HKE.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,HOM.nsea,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GND,0,LEM.kask,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,MAC.nsea,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GND,0,MUR.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,MON.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,MUS.kask,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GND,0,MUS.2224,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GND,0,NEP.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,NEP.kask,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,NOP.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,PLE.2123,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,PLE.2432,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,PLE.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,POK.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,POL.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,PRA.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,SAN.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,SOL.3a2223,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,SOL.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,SPR.nsea,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GND,0,SPR.2232,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GND,0,TUR.2232,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,TUR.nsea,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GND,0,TUR.kask,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,WHG.kask,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,WHG.2232,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,WHG.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GND,0,WIT.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,BLL.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,COD.kat,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,COD.2224,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,COD.2532,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,COD.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,CSH.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,DAB.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,DAB.2232,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,FLE.2223,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,FLE.2425,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,FLE.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,GUG.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,HAD.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,HER.3a22,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GNS,1,HER.2532,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GNS,1,HER.nsea,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GNS,1,HKE.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,HOM.nsea,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GNS,1,LEM.kask,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,MAC.nsea,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GNS,1,MUR.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,MON.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,MUS.kask,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GNS,1,MUS.2224,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GNS,1,NEP.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,NEP.kask,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,NOP.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,PLE.2123,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,PLE.2432,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,PLE.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,POK.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,POL.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,PRA.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,SAN.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,SOL.3a2223,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,SOL.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,SPR.nsea,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GNS,1,SPR.2232,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GNS,1,TUR.2232,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,TUR.nsea,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GNS,1,TUR.kask,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,WHG.kask,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,WHG.2232,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,WHG.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GNS,1,WIT.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,BLL.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,COD.kat,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,COD.2224,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,COD.2532,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,COD.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,CSH.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,DAB.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,DAB.2232,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,FLE.2223,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,FLE.2425,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
