ratio_percent;simu;scenario;variable
-0.833722547849192;simu6;scesevereandchokeplgnb;feffort
-0.152565437977657;simu7;scesevereandchokeplgnb;feffort
-0.170660821708211;simu8;scesevereandchokeplgnb;feffort
-1.67715162746698;simu9;scesevereandchokeplgnb;feffort
-0.214013392189472;simu10;scesevereandchokeplgnb;feffort
-0.204378658983629;simu6;scefmsylowplgnb;feffort
0.544527109597979;simu7;scefmsylowplgnb;feffort
0.684237114423652;simu8;scefmsylowplgnb;feffort
-0.85954688364734;simu9;scefmsylowplgnb;feffort
0.13389066457448;simu10;scefmsylowplgnb;feffort
-1.71295857116024;simu6;scefmsylowsevereandchokeplgnb;feffort
-0.905729340516203;simu7;scefmsylowsevereandchokeplgnb;feffort
-1.59046669350765;simu8;scefmsylowsevereandchokeplgnb;feffort
-2.32269886215367;simu9;scefmsylowsevereandchokeplgnb;feffort
-1.19786774302014;simu10;scefmsylowsevereandchokeplgnb;feffort
0.651945113582372;simu6;scesmallerselplgnb;feffort
0.678616064581988;simu7;scesmallerselplgnb;feffort
0.647821618816025;simu8;scesmallerselplgnb;feffort
0.690331449697766;simu9;scesmallerselplgnb;feffort
0.910931911643615;simu10;scesmallerselplgnb;feffort
-6.45866282653196;simu6;scejcodboxplgnb;feffort
-5.05644955902794;simu7;scejcodboxplgnb;feffort
-5.37922009165202;simu8;scejcodboxplgnb;feffort
-7.04545270554361;simu9;scejcodboxplgnb;feffort
-5.70488394696562;simu10;scejcodboxplgnb;feffort
-1.43840728088954;simu6;scesevereandchokeplgnb;seffort
-0.751189431962402;simu7;scesevereandchokeplgnb;seffort
-0.188353493899754;simu8;scesevereandchokeplgnb;seffort
-1.5074759414682;simu9;scesevereandchokeplgnb;seffort
-0.696108588674761;simu10;scesevereandchokeplgnb;seffort
-0.00902790776964935;simu6;scefmsylowplgnb;seffort
0.164711298254645;simu7;scefmsylowplgnb;seffort
1.07139297257646;simu8;scefmsylowplgnb;seffort
-0.614655450259008;simu9;scefmsylowplgnb;seffort
0.212123424191162;simu10;scefmsylowplgnb;seffort
-2.44098641063738;simu6;scefmsylowsevereandchokeplgnb;seffort
-1.64594429927715;simu7;scefmsylowsevereandchokeplgnb;seffort
-1.98525825104061;simu8;scefmsylowsevereandchokeplgnb;seffort
-2.74883783881937;simu9;scefmsylowsevereandchokeplgnb;seffort
-2.40551754205856;simu10;scefmsylowsevereandchokeplgnb;seffort
1.94858397629929;simu6;scesmallerselplgnb;seffort
1.75344489936862;simu7;scesmallerselplgnb;seffort
2.23487048458905;simu8;scesmallerselplgnb;seffort
2.128830435284;simu9;scesmallerselplgnb;seffort
1.8203554461705;simu10;scesmallerselplgnb;seffort
-0.602844444880404;simu6;scejcodboxplgnb;seffort
0.596603678594931;simu7;scejcodboxplgnb;seffort
0.49966300840984;simu8;scejcodboxplgnb;seffort
-0.573623808473613;simu9;scejcodboxplgnb;seffort
0.0824397875594229;simu10;scejcodboxplgnb;seffort
0.401288129701371;simu6;scesevereandchokeplgnb;propfeffort
0.394359410037197;simu7;scesevereandchokeplgnb;propfeffort
0.0116048961228614;simu8;scesevereandchokeplgnb;propfeffort
-0.112779704599703;simu9;scesevereandchokeplgnb;propfeffort
0.317757457723687;simu10;scesevereandchokeplgnb;propfeffort
-0.128144141206008;simu6;scefmsylowplgnb;propfeffort
0.24811699566709;simu7;scefmsylowplgnb;propfeffort
-0.251123866041226;simu8;scefmsylowplgnb;propfeffort
-0.16135307377057;simu9;scefmsylowplgnb;propfeffort
-0.0511964499429212;simu10;scefmsylowplgnb;propfeffort
0.487884999590293;simu6;scefmsylowsevereandchokeplgnb;propfeffort
0.491819458238268;simu7;scefmsylowsevereandchokeplgnb;propfeffort
0.263347081268648;simu8;scefmsylowsevereandchokeplgnb;propfeffort
0.286256191530754;simu9;scefmsylowsevereandchokeplgnb;propfeffort
0.807836888114693;simu10;scefmsylowsevereandchokeplgnb;propfeffort
-0.837330875451485;simu6;scesmallerselplgnb;propfeffort
-0.694609281514019;simu7;scesmallerselplgnb;propfeffort
-1.0218353946091;simu8;scesmallerselplgnb;propfeffort
