 745 987  3.30918000 53.64920000 20 
 745 988  3.44525000 53.65050000 4 
 745 989  3.58133000 53.65160000 12 
 745 992  3.98961000 53.65410000 34 
 745 993  4.12571000 53.65460000 51 
 745 994  4.26181000 53.65490000 5 
 745 995  4.39792000 53.65510000 1 
 745 1000  5.07844000 53.65380000 12 
 745 1001  5.21453000 53.65300000 1 
 745 1007  6.03096000 53.64540000 25 
 745 1008  6.16700000 53.64360000 9 
 745 1013  6.84698000 53.63220000 2 
 745 1020  0.52301500 53.65860000 4 
 745 1040  3.24114000 53.71810000 8 
 745 1041  3.37721000 53.71950000 2 
 745 1044  3.78546000 53.72260000 1 
 745 1046  4.05766000 53.72390000 9 
 745 1047  4.19376000 53.72430000 26 
 745 1048  4.32987000 53.72460000 17 
 745 1050  4.60208000 53.72470000 3 
 745 1052  4.87429000 53.72410000 6 
 745 1055  5.28259000 53.72220000 7 
 745 1056  5.41867000 53.72120000 24 
 745 1060  5.96295000 53.71580000 30 
 745 1066  6.77902000 53.70300000 1 
 745 1069  7.18684000 53.69460000 22 
 745 1093  2.76496000 53.78170000 37 
 745 1094  2.90099000 53.78360000 6 
 745 1096  3.17310000 53.78690000 25 
 745 1097  3.30916000 53.78830000 7 
 745 1099  3.58132000 53.79070000 1 
 745 1100  3.71741000 53.79170000 2 
 745 1101  3.85350000 53.79250000 4 
 745 1104  4.26181000 53.79400000 23 
 745 1105  4.39792000 53.79420000 18 
 745 1106  4.53403000 53.79430000 17 
 745 1109  4.94235000 53.79340000 2 
 745 1112  5.35064000 53.79120000 10 
 745 1114  5.62280000 53.78900000 2 
 745 1127  7.39071000 53.75940000 34 
 745 1132  8.20559000 53.73700000 3 
 745 1134  8.47701000 53.72820000 4 
 745 1154  2.58730000 53.84860000 4 
 745 1158  3.13363000 53.85600000 50 
 745 1163  3.81675000 53.86190000 7 
 745 1167  4.36335000 53.86370000 1 
 745 1169  4.63665000 53.86370000 4 
 745 1170  4.77331000 53.86350000 20 
 745 1171  4.90996000 53.86310000 32 
 745 1172  5.04661000 53.86260000 31 
 745 1174  5.31989000 53.86100000 13 
 745 1176  5.59315000 53.85880000 1 
 745 1177  5.72977000 53.85750000 24 
 745 1185  6.82229000 53.84130000 7 
 745 1192  7.77737000 53.81900000 7 
 745 1195  8.18634000 53.80710000 5 
 745 1199  0.06450100 53.85130000 5 
 745 1218  2.65557000 53.91920000 7 
 745 1220  2.92872000 53.92310000 56 
 745 1221  3.06531000 53.92480000 10 
 745 1222  3.20192000 53.92630000 9 
 745 1225  3.61179000 53.93010000 5 
 745 1227  3.88507000 53.93180000 2 
 745 1228  4.02171000 53.93240000 2 
 745 1231  4.43167000 53.93330000 7 
 745 1233  4.70498000 53.93320000 13 
 745 1234  4.84164000 53.93290000 46 
 745 1235  4.97829000 53.93240000 29 
 745 1236  5.11493000 53.93180000 38 
 745 1239  5.52484000 53.92900000 6 
 745 1240  5.66147000 53.92770000 7 
 745 1241  5.79808000 53.92630000 11 
 745 1244  6.20786000 53.92120000 9 
 745 1245  6.34443000 53.91920000 3 
 745 1246  6.48099000 53.91700000 10 
 745 1259  8.25451000 53.87460000 9 
 745 1262  8.93550000 53.85130000 15 
 745 1282  2.47677000 53.98580000 5 
 745 1283  2.61387000 53.98810000 9 
 745 1285  2.88811000 53.99210000 30 
 745 1286  3.02526000 53.99380000 18 
 745 1287  3.16241000 53.99540000 26 
 745 1290  3.57392000 53.99930000 2 
 745 1291  3.71110000 54.00030000 7 
 745 1293  3.98549000 54.00180000 2 
 745 1295  4.25989000 54.00260000 4 
 745 1300  4.94591000 54.00210000 32 
 745 1301  5.08311000 54.00150000 47 
 745 1302  5.22030000 54.00070000 13 
 745 1306  5.76901000 53.99620000 9 
 745 1320  7.68787000 53.96060000 1 
 745 1321  7.82478000 53.95690000 146 
 745 1322  7.96167000 53.95300000 22 
 745 1330  -0.05580880 53.98600000 16 
 745 1346  2.13407000 54.04910000 13 
 745 1347  2.27113000 54.05180000 13 
 745 1348  2.40821000 54.05420000 8 
 745 1349  2.54530000 54.05650000 11 
 745 1350  2.68241000 54.05870000 17 
 745 1351  2.81954000 54.06070000 3 
 745 1358  3.77969000 54.07030000 3 
 745 1359  3.91689000 54.07100000 4 
 745 1360  4.05408000 54.07160000 1 
 745 1363  4.46570000 54.07240000 8 
 745 1367  5.01452000 54.07130000 95 
 745 1368  5.15171000 54.07060000 5 
 745 1369  5.28891000 54.06980000 118 
 745 1372  5.70044000 54.06640000 4 
 745 1380  6.79740000 54.05050000 1 
 745 1386  7.61943000 54.03190000 21 
 745 1388  7.89326000 54.02450000 7 
 745 1389  8.03014000 54.02060000 12 
 745 1392  8.44061000 54.00780000 3 
 745 1396  -0.12415100 54.05300000 8 
 745 1411  1.92849000 54.11450000 53 
 745 1412  2.06553000 54.11730000 205 
 745 1413  2.20258000 54.12000000 137 
 745 1414  2.33965000 54.12260000 4 
 745 1415  2.47674000 54.12490000 12 
 745 1416  2.61384000 54.12720000 3 
 745 1417  2.75096000 54.12920000 6 
 745 1418  2.88809000 54.13120000 23 
 745 1423  3.57390000 54.13840000 1 
 745 1426  3.98548000 54.14080000 7 
 745 1433  4.94592000 54.14110000 1 
 745 1434  5.08312000 54.14050000 11 
 745 1435  5.22032000 54.13980000 34 
 745 1436  5.35751000 54.13890000 18 
 745 1444  6.45471000 54.12610000 9 
 745 1448  7.00299000 54.11590000 6 
 745 1449  7.14002000 54.11300000 12 
 745 1450  7.27703000 54.10990000 43 
 745 1452  7.55098000 54.10330000 17 
 745 1453  7.68792000 54.09970000 86 
 745 1454  7.82483000 54.09600000 26 
 745 1455  7.96172000 54.09210000 6 
 745 1456  8.09859000 54.08810000 7 
 745 1458  8.37224000 54.07960000 3 
 745 1459  8.50902000 54.07510000 9 
 745 1464  -0.03988590 54.12580000 1 
 745 1470  0.78385600 54.15410000 12 
 745 1471  0.92125100 54.15830000 44 
 745 1472  1.05867000 54.16230000 9 
 745 1475  1.47109000 54.17340000 182 
 745 1476  1.60861000 54.17680000 33 
 745 1477  1.74615000 54.18000000 1 
 745 1478  1.88372000 54.18310000 9 
 745 1480  2.15890000 54.18870000 22 
 745 1483  2.57181000 54.19600000 1 
 745 1484  2.70948000 54.19820000 18 
 745 1486  2.98485000 54.20190000 1 
 745 1487  3.12255000 54.20360000 12 
 745 1494  4.08672000 54.21080000 10 
 745 1496  4.36224000 54.21140000 10 
 745 1498  4.63776000 54.21140000 10 
 745 1499  4.77552000 54.21120000 15 
 745 1502  5.18879000 54.20950000 8 
 745 1503  5.32654000 54.20860000 4 
 745 1506  5.73973000 54.20510000 2 
 745 1514  6.84110000 54.18870000 3 
 745 1519  7.52891000 54.17340000 4 
 745 1541  0.71514400 54.22150000 3 
 745 1542  0.85252500 54.22580000 7 
 745 1543  0.98993400 54.22990000 19 
 745 1546  1.40232000 54.24120000 134 
 745 1547  1.53983000 54.24470000 10 
 745 1550  1.95249000 54.25410000 8 
 745 1556  2.77830000 54.26870000 5 
 745 1562  3.60459000 54.27770000 6 
 745 1563  3.74233000 54.27860000 6 
 745 1566  4.15559000 54.28050000 16 
 745 1567  4.29336000 54.28080000 6 
 745 1568  4.43112000 54.28100000 10 
 745 1569  4.56888000 54.28100000 20 
 745 1571  4.84441000 54.28050000 1 
 745 1576  5.53315000 54.27660000 7 
 745 1585  6.77231000 54.25960000 11 
 745 1586  6.90992000 54.25690000 30 
 745 1588  7.18509000 54.25110000 15 
 745 1592  7.73517000 54.23760000 8 
 745 1595  8.14748000 54.22580000 2 
 745 1611  0.66534500 54.28950000 56 
 745 1612  0.80327300 54.29390000 29 
 745 1613  0.94122900 54.29800000 13 
 745 1614  1.07921000 54.30200000 13 
 745 1615  1.21722000 54.30590000 15 
 745 1616  1.35526000 54.30950000 8 
 745 1619  1.76950000 54.31960000 19 
 745 1620  1.90763000 54.32270000 9 
 745 1621  2.04577000 54.32560000 41 
 745 1623  2.32212000 54.33090000 1 
 745 1637  4.25794000 54.35030000 2 
 745 1638  4.39626000 54.35050000 7 
 745 1639  4.53458000 54.35050000 11 
 745 1643  5.08786000 54.34910000 35 
 745 1644  5.22617000 54.34830000 36 
 745 1648  5.77934000 54.34370000 10 
 745 1650  6.05587000 54.34050000 23 
 745 1653  6.47058000 54.33440000 11 
 745 1654  6.60879000 54.33210000 18 
 745 1657  7.02330000 54.32410000 8 
 745 1661  7.57572000 54.31130000 10 
 745 1665  8.12775000 54.29600000 7 
 745 1666  8.26569000 54.29170000 30 
 745 1682  0.73427900 54.36130000 32 
 745 1683  0.87222200 54.36550000 2 
