 745 1  1.29228000 51.03630000 0.03301245 
 745 3  1.54861000 51.04300000 0.04774495 
 745 4  1.67681000 51.04620000 0.03546166 
 745 5  1.80502000 51.04920000 0.01616322 
 745 6  1.93324000 51.05210000 0.02178963 
 745 7  2.06148000 51.05490000 0.07523854 
 745 8  2.18974000 51.05750000 0.01488689 
 745 11  1.61269000 51.11430000 0.10130031 
 745 12  1.74089000 51.11740000 0.02564334 
 745 13  1.86911000 51.12030000 0.07526633 
 745 14  1.99734000 51.12310000 0.04198028 
 745 15  2.12559000 51.12580000 0.00607430 
 745 16  2.25385000 51.12840000 0.10592930 
 745 17  2.38213000 51.13080000 0.04423282 
 745 19  2.63873000 51.13510000 0.03856750 
 745 23  1.80497000 51.18850000 0.04875244 
 745 24  1.93320000 51.19140000 0.03387113 
 745 25  2.06144000 51.19410000 0.09320325 
 745 26  2.18970000 51.19670000 0.01657015 
 745 27  2.31797000 51.19920000 0.01577248 
 745 28  2.44626000 51.20150000 0.04799264 
 745 30  2.70287000 51.20580000 0.03183053 
 745 34  1.89132000 51.26010000 0.08397744 
 745 38  2.40630000 51.27050000 0.92121740 
 745 39  2.53508000 51.27270000 0.01680310 
 745 41  2.79268000 51.27670000 0.63118543 
 745 42  2.92149000 51.27850000 0.03395110 
 745 45  1.69825000 51.32530000 0.21812205 
 745 46  1.82695000 51.32830000 0.05359621 
 745 47  1.95566000 51.33120000 0.01488431 
 745 49  2.21314000 51.33650000 0.34258261 
 745 50  2.34190000 51.33890000 0.99407073 
 745 52  2.59946000 51.34340000 0.86326425 
 745 53  2.72826000 51.34540000 0.15292702 
 745 54  2.85707000 51.34730000 0.10287883 
 745 55  2.98589000 51.34900000 0.02559986 
 745 56  3.11472000 51.35060000 0.03768405 
 745 63  1.65533000 51.39390000 0.01225143 
 745 64  1.78451000 51.39700000 0.58485565 
 745 65  1.91371000 51.39990000 0.33023372 
 745 66  2.04292000 51.40270000 0.97339788 
 745 74  3.07713000 51.41980000 0.28029888 
 745 75  3.20645000 51.42130000 0.03867662 
 745 76  3.33578000 51.42270000 0.03862188 
 745 77  3.46512000 51.42390000 0.74459205 
 745 79  3.98254000 51.42730000 0.98821011 
 745 88  1.84909000 51.46810000 0.83813107 
 745 89  1.97830000 51.47090000 0.17514987 
 745 90  2.10752000 51.47370000 0.55619034 
 745 93  2.49528000 51.48090000 0.09387924 
 745 94  2.62455000 51.48310000 0.10931857 
 745 95  2.75384000 51.48510000 0.03292228 
 745 96  2.88315000 51.48690000 0.71444812 
 745 98  3.14178000 51.49020000 0.02380679 
