 745 2899  2.19683000 55.44100000 4225808.70535564 70 
 745 2974  2.29390000 55.51220000 4009996.16439309 70 
 745 6148  4.99371000 58.03120000 3799123.99149660 70 
 745 3319  7.32224000 55.77760000 3395892.87626466 70 
 745 3085  7.48810000 55.56520000 3361388.80555755 70 
 745 2650  1.11397000 55.20720000 3061698.59441306 70 
 745 2566  1.32532000 55.14330000 3010612.51037888 70 
 745 4890  7.12484000 57.03270000 2914750.91891084 70 
 745 4981  7.39587000 57.09620000 2826011.62999966 70 
 745 5430  8.61734000 57.40950000 2780255.16006182 70 
 745 4988  8.43342000 57.06790000 2626535.02173590 70 
 745 2446  6.64365000 55.02680000 2380934.39878566 70 
 745 2820  1.98443000 55.36730000 2279801.43501371 70 
 745 4891  7.27256000 57.02960000 2278818.59516253 70 
 745 2487  1.37347000 55.07500000 2021860.88274794 70 
 745 5877  9.70741000 57.71680000 1915027.74769316 70 
 745 2732  1.04352000 55.27470000 1882154.77306771 70 
 745 5164  8.58155000 57.20220000 1853687.89105276 70 
 745 3157  7.46493000 55.63530000 1837138.71466216 70 
 745 3000  5.99473000 55.52300000 1783928.73883358 70 
 745 2753  4.00582000 55.32260000 1757358.63043753 70 
 745 7443  3.35798000 59.20670000 1528501.19659954 70 
 745 2273  4.50000000 54.90670000 1512881.97133788 70 
 745 5974  9.78260000 57.78320000 1490476.84744289 70 
 745 2965  1.01469000 55.48250000 1481770.60060184 70 
 745 2775  7.11092000 55.29570000 1476299.53325763 70 
 745 2438  5.51936000 55.04140000 1473243.39398419 70 
 745 5162  8.28535000 57.21150000 1431177.76010964 70 
 745 438  2.91150000 52.60100000 1254787.27718654 70 
 745 2969  1.58299000 55.49740000 1211704.23247799 70 
 745 6083  10.67320000 57.81240000 1208544.44247645 70 
 745 4167  6.54402000 56.48790000 1197228.59678874 70 
 745 5873  9.10563000 57.74020000 1051570.73693629 70 
 745 2652  1.39575000 55.21470000 1042991.03540921 70 
 745 6075  9.46618000 57.86560000 998933.52918660 70 
 745 5676  6.34402000 57.67160000 995117.49088921 70 
