 745 903  5.99099000 53.50680000 2087.95619990 
 745 904  6.39745000 53.50100000 13903.86755189 
 745 934  3.21227000 53.57870000 2276.34091927 
 745 935  3.34780000 53.58010000 3507.92264165 
 745 937  3.61887000 53.58240000 233.66713253 
 745 938  3.75442000 53.58330000 1398.64244842 
 745 940  4.02553000 53.58470000 301.85780834 
 745 949  5.24558000 53.58330000 0.05205337 
 745 953  5.78773000 53.57870000 0.04859810 
 745 957  6.32973000 53.57160000 10.79202736 
 745 959  6.60065000 53.56720000 5124.59556296 
 745 968  0.72659500 53.59570000 5587.23529348 
 745 987  3.30918000 53.64920000 28110.40869144 
 745 988  3.44525000 53.65050000 3793.90153212 
 745 989  3.58133000 53.65160000 2768.78483153 
 745 992  3.98961000 53.65410000 4267.28148372 
 745 993  4.12571000 53.65460000 4479.80806462 
 745 994  4.26181000 53.65490000 4527.80484526 
 745 995  4.39792000 53.65510000 301.85365635 
 745 1000  5.07844000 53.65380000 14457.12468430 
 745 1001  5.21453000 53.65300000 0.05129012 
 745 1007  6.03096000 53.64540000 5300.01008851 
 745 1008  6.16700000 53.64360000 3177.91686783 
 745 1013  6.84698000 53.63220000 308.94364787 
 745 1020  0.52301500 53.65860000 0.29375464 
 745 1040  3.24114000 53.71810000 11350.83341929 
 745 1041  3.37721000 53.71950000 1753.96132082 
 745 1044  3.78546000 53.72260000 301.85780834 
 745 1046  4.05766000 53.72390000 5360.32505865 
 745 1047  4.19376000 53.72430000 15250.13595756 
 745 1048  4.32987000 53.72460000 3456.46403601 
 745 1050  4.60208000 53.72470000 1811.12193810 
 745 1052  4.87429000 53.72410000 6338.92678336 
 745 1055  5.28259000 53.72220000 2168.75464722 
 745 1056  5.41867000 53.72120000 30895.85635936 
 745 1060  5.96295000 53.71580000 15523.51359004 
 745 1066  6.77902000 53.70300000 140.07791869 
 745 1069  7.18684000 53.69460000 30906.42794222 
 745 1093  2.76496000 53.78170000 31409.63097640 
 745 1094  2.90099000 53.78360000 5319.06949169 
 745 1096  3.17310000 53.78690000 11394.36194464 
 745 1097  3.30916000 53.78830000 11807.44653060 
 745 1099  3.58132000 53.79070000 301.85780834 
 745 1100  3.71741000 53.79170000 610.52879809 
 745 1101  3.85350000 53.79250000 2113.00465838 
 745 1104  4.26181000 53.79400000 12001.04611454 
 745 1105  4.39792000 53.79420000 24771.31231007 
 745 1106  4.53403000 53.79430000 11470.04009636 
 745 1109  4.94235000 53.79340000 315.48262351 
 745 1112  5.35064000 53.79120000 4.52882453 
 745 1114  5.62280000 53.78900000 213.58071546 
 745 1127  7.39071000 53.75940000 24263.64865881 
 745 1132  8.20559000 53.73700000 1252.86625501 
 745 1134  8.47701000 53.72820000 1294.54313621 
 745 1154  2.58730000 53.84860000 4263.88981399 
 745 1158  3.13363000 53.85600000 12565.55375950 
 745 1163  3.81675000 53.86190000 4528.80404764 
